time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.98244075138e-08,6.2641082438e-07,10.0018200575,0.000532684235614,6.28288951845,0.0,1.4160044379e-05,5.05343316267e-05,0.0606667121795,0.0224387404706,-0.0172774609515,0.0,424.7617744738965,423.27784736093264,423.49006429154144,425.41534243311565
0.12000000000000001,1.03423844726e-05,1.91833560126e-05,10.0077174606,0.00180211680655,6.28213728348,0.0,0.000414867458232,0.000696778843302,0.135906603679,0.0184626652024,-0.00443208049917,0.0,428.4140715478004,429.5047860498286,429.17027282234864,428.83273826833374
0.18,5.65315008525e-05,0.000101639209788,10.0178450604,0.00381017176937,6.28212031739,0.0,0.00113742681311,0.00221258460206,0.201669769841,0.0533376961694,0.0069389077566,0.0,425.2363652931497,426.20915716948576,424.63792815160474,427.61905965241635
0.23999999999999996,0.000148296184501,0.000339436225033,10.0361686412,0.00683203686913,6.28261111503,0.0,0.00186773287803,0.00608152396844,0.409062663509,0.0436357296026,0.0105532601154,0.0,469.3032365645833,469.58352633731977,470.5500952942647,469.80000364974734
0.3,0.00027076152645,0.000869181742124,10.0655984156,0.00920788191341,6.28301482013,0.0,0.00215517143401,0.0118558265425,0.571859779053,0.0299659117438,-0.00229785063648,0.0,456.9302586526694,455.90468020912976,457.3215027423632,456.2322742731033
0.36000000000000004,0.000404244674967,0.00179496904736,10.1047295749,0.0106371134886,6.28309152107,0.0,0.00229673748181,0.0191867326042,0.73242076596,0.00721981384681,0.00761276089715,0.0,455.42077750449727,456.2126521680332,457.25844583514026,455.44313217086926
0.4200000000000001,0.000542313577303,0.00315458437697,10.1504387882,0.011333740145,0.0001355670947,0.0,0.00227136391694,0.0261886457058,0.791179820767,0.0191963143853,-0.00510652684801,0.0,425.1844699316987,424.0934687219986,423.22384758549583,424.25316451432724
0.48000000000000015,0.000676961649963,0.00496200176644,10.2006806312,0.0120003330563,6.2830433235,0.0,0.00224634527118,0.0341590590039,0.883479780541,-0.0145578764003,-0.00368136363311,0.0,436.25194886598615,436.371001051747,435.3379650341415,432.5047213204447
0.5400000000000001,0.000816483112899,0.00731234469902,10.2614246316,0.0106609858678,6.28253816588,0.0,0.00244699048295,0.0440547875211,1.14110049055,-0.0461841314317,-0.0201575406071,0.0,485.848029340764,484.61141337890245,486.2827841730143,483.9080939080236
0.6000000000000002,0.000982337428361,0.0101933755672,10.3356221905,0.0082277961335,6.28216129493,0.0,0.00316260426206,0.0516791529747,1.33195150062,-0.0311719800332,0.0125544872273,0.0,464.40819960276724,466.96674048306784,466.0102774747669,467.1813060997173
0.6600000000000003,0.00118935627396,0.0134499845854,10.4176479519,0.00651004851528,6.28314420442,0.0,0.00365232611851,0.0566990426244,1.40215824674,-0.0239757651803,0.023107989263,0.0,428.6494195208985,429.5451647485743,428.86113765018587,429.4716070912171
0.7200000000000003,0.00140451569278,0.0169667457658,10.5025336004,0.00496389246943,0.001358051614,0.0,0.00339301095738,0.0603905700004,1.42733297652,-0.0296213386844,0.0237383781095,0.0,415.6144106337891,415.66974544448,413.5619483977264,413.0642409612157
0.7800000000000004,0.00156757574792,0.0207030655989,10.5947443273,0.00367917737197,0.00354102404421,0.0,0.00181801889134,0.0639732900531,1.64606952777,-0.00865705198742,0.0540241609093,0.0,473.70073796374027,476.0241956094946,474.42777520192317,476.03451693364957
0.8400000000000004,0.00159673680082,0.0246104168834,10.6951475208,0.00307926508525,0.00678864264917,0.0,-0.00115477409136,0.0662182094222,1.70062266061,-0.0128263705973,0.0543317395583,0.0,424.93895720776044,424.96741462010914,425.1145567665668,424.7572943356802
0.9000000000000005,0.00138573888263,0.0286409165373,10.79866175,0.00329592484499,0.0103123894892,0.0,-0.00619951133861,0.0681164817222,1.74977504189,0.0247315764805,0.0663223048036,0.0,422.3925407136002,423.4278276115942,422.1836018866793,425.41160380514737
0.9600000000000005,0.000775580228507,0.0328048661833,10.9075505301,0.00491958396332,0.0139505497676,0.0,-0.014545900072,0.0708468312539,1.87964083979,0.0313537145173,0.0457386889246,0.0,450.59520176272883,448.93070712880746,448.48856772294863,449.0262268155273
1.0200000000000005,-0.000413382753168,0.037171490893,11.0245449315,0.00735543184667,0.0165470635331,0.0,-0.0253715841087,0.0749439331887,2.01992918245,0.054583976213,0.0378284040612,0.0,453.4083588448202,452.77343834131557,451.82739844038787,453.6970327302
1.0800000000000005,-0.00223691442015,0.0418097127359,11.1458383536,0.0109991917325,0.0186636260319,0.0,-0.035605474371,0.0799686861862,2.02317247838,0.0708187888636,0.0296096539295,0.0,409.02253867405364,408.2906227122129,409.05570917638573,410.50171922461436
1.1400000000000006,-0.00482872242209,0.0468900498566,11.2735296905,0.0152136508606,0.0207288381232,0.0,-0.0510095118454,0.0898715502137,2.23280840175,0.0690602284269,0.0426273434915,0.0,473.60953334294726,474.61005210272236,474.5443279126701,474.41275077239897
1.2000000000000006,-0.00837234268236,0.0526485274595,11.4125963897,0.0207863774191,0.0236396121059,0.0,-0.067413212295,0.102641289397,2.40238959731,0.119386922194,0.0582473558456,0.0,461.5817115157198,462.81401625572886,462.269189783483,466.2237868578269
1.2600000000000007,-0.0128523264134,0.0592032905309,11.5569953132,0.0274540076142,0.0269910703832,0.0,-0.0822224195404,0.116470959134,2.41086581847,0.0844653459484,0.050591904483,0.0,413.22250351836806,412.54947842089666,414.1797512994645,411.108344519234
